0,16400,16600,349
1,16600,16800,2053
2,16800,17000,5980
3,17000,17200,12931
4,17200,17400,26110
5,17400,17600,45030
6,17600,17800,70596
7,17800,18000,103711
8,18000,18200,143078
9,18200,18400,187164
10,18400,18600,234574
11,18600,18800,282803
12,18800,19000,328608
13,19000,19200,373077
14,19200,19400,413190
15,19400,19600,444627
16,19600,19800,470309
17,19800,20000,489482
18,20000,20200,499332
19,20200,20400,500331
20,20400,20600,494752
21,20600,20800,480976
22,20800,21000,464457
23,21000,21200,440743
24,21200,21400,414169
25,21400,21600,385923
26,21600,21800,353894
27,21800,22000,320500
28,22000,22200,288985
29,22200,22400,257433
30,22400,22600,228022
31,22600,22800,199561
32,22800,23000,172765
33,23000,23200,149148
34,23200,23400,126750
35,23400,23600,107532
36,23600,23800,90572
37,23800,24000,75424
38,24000,24200,62186
39,24200,24400,51086
40,24400,24600,42031
41,24600,24800,33805
42,24800,25000,27190
43,25000,25200,21819
44,25200,25400,17536
45,25400,25600,13858
46,25600,25800,10722
47,25800,26000,8447
48,26000,26200,6420
49,26200,26400,5072
50,26400,26600,3779
51,26600,26800,2885
52,26800,27000,2222
53,27000,27200,1580
54,27200,27400,1165
55,27400,27600,910
56,27600,27800,664
57,27800,28000,454
58,28000,28200,341
59,28200,28400,267
60,28400,28600,190
61,28600,28800,143
62,28800,29000,73
63,29000,29200,76
64,29200,29400,49
65,29400,29600,29
66,29600,29800,19
67,29800,30000,15
68,30000,30200,4
69,30200,30400,7
70,30400,30600,10
71,30600,30800,2
72,30800,31000,1
73,31000,31200,0
74,31200,31400,1
75,31400,31600,0
76,31600,31800,0
77,31800,32000,0
78,32000,32200,0
79,32200,32400,0
80,32400,32600,1
avg,20689.744620
std dev,1610.320624
