0,15800,16000,67
1,16000,16200,928
2,16200,16400,3659
3,16400,16600,9171
4,16600,16800,19350
5,16800,17000,35833
6,17000,17200,58987
7,17200,17400,90819
8,17400,17600,128213
9,17600,17800,171661
10,17800,18000,220590
11,18000,18200,271755
12,18200,18400,320079
13,18400,18600,367611
14,18600,18800,411252
15,18800,19000,448200
16,19000,19200,476022
17,19200,19400,496823
18,19400,19600,509126
19,19600,19800,513885
20,19800,20000,508838
21,20000,20200,495256
22,20200,20400,477576
23,20400,20600,455484
24,20600,20800,427070
25,20800,21000,394060
26,21000,21200,362498
27,21200,21400,328298
28,21400,21600,294688
29,21600,21800,261394
30,21800,22000,230166
31,22000,22200,200840
32,22200,22400,173470
33,22400,22600,147969
34,22600,22800,125558
35,22800,23000,105906
36,23000,23200,88620
37,23200,23400,73075
38,23400,23600,60327
39,23600,23800,49576
40,23800,24000,39840
41,24000,24200,32012
42,24200,24400,25107
43,24400,24600,20118
44,24600,24800,15981
45,24800,25000,12631
46,25000,25200,9714
47,25200,25400,7530
48,25400,25600,5586
49,25600,25800,4284
50,25800,26000,3322
51,26000,26200,2463
52,26200,26400,1808
53,26400,26600,1320
54,26600,26800,1039
55,26800,27000,720
56,27000,27200,536
57,27200,27400,397
58,27400,27600,280
59,27600,27800,182
60,27800,28000,150
61,28000,28200,94
62,28200,28400,69
63,28400,28600,38
64,28600,28800,21
65,28800,29000,22
66,29000,29200,14
67,29200,29400,6
68,29400,29600,5
69,29600,29800,6
70,29800,30000,4
71,30000,30200,1
avg,20112.330064
std dev,1571.265057
