stat,flower,feather,sands,goblet,circlet
DEF,167,171,70,51,17
DEF%,136,113,49,30,5
HP,0,154,63,53,17
HP%,126,99,44,46,12
ATK,171,0,64,58,24
ATK%,133,121,0,41,11
ER,115,116,37,33,16
EM,135,114,39,36,10
CR,105,75,38,33,6
CD,101,97,39,28,0
